Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
baseline,INDIA,GtCO2/yr,2.77719,3.39386,3.94191,4.42118,4.95129,5.64816,6.4368,7.22155,7.99966,8.76632,9.42161,9.88563,10.2401,10.5701,10.8292,10.9709,11.0585,11.145,11.2854,11.4208,11.5351,11.6366,11.724,11.7951,11.8505,11.8909,11.9134
baseline,KOR,GtCO2/yr,0.784572,0.832656,0.856692,0.83668,0.805889,0.780207,0.753959,0.725155,0.693805,0.659929,0.621697,0.578464,0.535864,0.499619,0.470435,0.448417,0.435664,0.4294,0.43259,0.432875,0.432085,0.43174,0.431691,0.431517,0.431253,0.431009,0.430774
baseline,CHN,GtCO2/yr,11.3913,12.3409,12.9251,12.9916,12.8073,12.5858,12.2278,11.7149,11.071,10.3258,9.49417,8.60909,7.78987,7.14286,6.64614,6.26725,6.04584,5.95879,6.00845,6.01646,6.00423,5.99984,6.00096,6,5.99753,5.99555,5.99388
baseline,SEAS,GtCO2/yr,1.51417,1.8104,2.04389,2.17759,2.21736,2.20834,2.23423,2.35402,2.49826,2.59806,2.70059,2.84591,2.94408,2.92343,2.89525,2.97002,3.09658,3.18842,3.28456,3.36991,3.44561,3.50885,3.55985,3.59939,3.628,3.64569,3.6505
baseline,INDO,GtCO2/yr,1.63506,1.70042,1.74641,1.80034,1.8336,1.79811,1.75912,1.78217,1.84481,1.90725,1.94008,1.92906,1.90774,1.90908,1.92313,1.93456,1.94452,1.94387,1.95892,1.97242,1.9832,1.9919,1.99847,2.0027,2.0047,2.00456,2.00189
baseline,JAP,GtCO2/yr,1.06462,1.01508,0.974279,0.948427,0.925763,0.928693,0.938668,0.950301,0.952937,0.93776,0.907226,0.867947,0.833268,0.813426,0.8009,0.787397,0.776916,0.766536,0.769252,0.769501,0.768911,0.76866,0.768631,0.768486,0.768242,0.767981,0.767693
baseline,OCE,GtCO2/yr,0.388396,0.370206,0.366642,0.416351,0.474722,0.502402,0.49302,0.450936,0.427585,0.460482,0.493676,0.474718,0.444008,0.446443,0.466592,0.481676,0.493436,0.502366,0.517259,0.530337,0.541467,0.551275,0.559697,0.566549,0.571905,0.575828,0.578053
baseline,RSAS,GtCO2/yr,0.417044,0.539118,0.664829,0.790781,0.931139,1.10395,1.32204,1.58898,1.8769,2.1603,2.45235,2.77045,3.11196,3.47134,3.85039,4.25055,4.65979,5.07076,5.46868,5.81848,6.12327,6.38959,6.61622,6.80118,6.94651,7.05313,7.11327
baseline,RSAF,GtCO2/yr,0.786528,0.71864,0.783432,1.12284,1.40826,1.32713,1.07355,0.90691,0.87846,0.981052,1.17365,1.40808,1.63977,1.8396,2.03398,2.25263,2.48685,2.71083,2.93667,3.13158,3.3022,3.45125,3.57811,3.68185,3.76358,3.82375,3.85803
relative_abatement,CAN,fraction_of_baseline_emissions,0.0130513,0.264534,0.531505,0.689634,0.736236,0.774834,0.807987,0.836538,0.861994,0.886018,0.908752,0.930265,0.950589,0.969677,0.98777,1.00422,1.08472,1.06656,1.06423,1.06234,1.06072,1.0594,1.05834,1.0575,1.05685,1.0564,1.05615
relative_abatement,USA,fraction_of_baseline_emissions,0.00622146,0.21787,0.457812,0.724718,0.812889,0.851811,0.883077,0.909054,0.931246,0.950699,0.96773,0.982483,0.995252,1.00614,1.01509,1.02149,1.09251,1.03951,1.03872,1.03829,1.03792,1.0376,1.03733,1.03711,1.03694,1.03682,1.03674
relative_abatement,MEX,fraction_of_baseline_emissions,0.00924344,0.270428,0.537757,0.599416,0.653198,0.701438,0.746052,0.788442,0.828799,0.866971,0.903091,0.937419,0.970097,1.00116,1.03047,1.05693,1.15169,1.16615,1.1608,1.15605,1.15207,1.14877,1.1461,1.14397,1.14235,1.14118,1.14053
relative_abatement,RCAM,fraction_of_baseline_emissions,0.00903906,0.290675,0.451621,0.508979,0.563109,0.613638,0.661611,0.707849,0.752543,0.795752,0.837564,0.878079,0.917259,0.954928,0.990797,1.03596,1.11013,1.15629,1.15205,1.14772,1.14417,1.14119,1.13873,1.13678,1.13528,1.1342,1.13357
relative_abatement,BRA,fraction_of_baseline_emissions,0.00870669,0.265705,0.535411,0.791863,0.860625,0.916859,0.967203,1.0146,1.05967,1.10209,1.14202,1.17929,1.21442,1.2484,1.28066,1.3075,1.42099,1.42457,1.42679,1.427,1.42584,1.42523,1.42504,1.42476,1.42443,1.42418,1.42401
relative_abatement,RSAM,fraction_of_baseline_emissions,0.00874709,0.327069,0.575253,0.777802,0.84986,0.913244,0.970024,1.02384,1.0755,1.12412,1.16958,1.21225,1.25261,1.29095,1.32674,1.35589,1.47464,1.49148,1.48766,1.48309,1.47885,1.47527,1.47231,1.46986,1.4679,1.46644,1.46553
relative_abatement,NAF,fraction_of_baseline_emissions,0.00561769,0.268156,0.29776,0.336517,0.372373,0.405055,0.435525,0.464508,0.492193,0.518564,0.54333,0.566369,0.587818,0.607696,0.625899,0.643134,0.699881,0.669691,0.683298,0.693403,0.701584,0.708263,0.71359,0.717654,0.720614,0.722566,0.72337
relative_abatement,WAF,fraction_of_baseline_emissions,0.00424076,0.298049,0.332758,0.379948,0.427584,0.474475,0.521205,0.569411,0.619402,0.670139,0.720797,0.77098,0.820021,0.867483,0.913461,0.990315,1.05436,1.10569,1.09662,1.08953,1.08414,1.07992,1.07665,1.07416,1.07231,1.071,1.07027
relative_abatement,EAF,fraction_of_baseline_emissions,0.00575835,0.2323,0.259591,0.297017,0.334943,0.37311,0.411997,0.451998,0.493128,0.53518,0.577873,0.620824,0.663354,0.705011,0.749576,0.80874,0.853749,0.891036,0.900432,0.907476,0.912803,0.916997,0.920274,0.922763,0.924612,0.925916,0.926638
